Data_Venda;Nome_Cliente;Cidade;Produto;Quantidade;Valor_Unitario;Valor_Total
2024-04-17;Vitor Hugo Gonçalves;Pastor do Sul;Notebook;9;1645.25;14807.25
2025-10-02;Sr. Luiz Miguel Abreu;Pereira;Mouse;7;459.88;3219.16
2025-02-28;Theodoro Duarte;Duarte;Teclado;3;2634.71;7904.13
2025-09-17;Joaquim Farias;das Neves da Praia;Monitor;1;1253.71;1253.71
2024-01-08;Mariah Almeida;das Neves do Sul;Teclado;2;2959.84;5919.68
2025-09-28;Théo Castro;Costa;Notebook;2;2683.32;5366.64
2025-04-14;Zoe Viana;da Luz;Teclado;6;496.29;2977.74
2024-12-30;Dr. Dom Correia;Guerra da Mata;Teclado;4;1850.4;7401.6
2025-10-04;Luara da Cruz;Azevedo das Pedras;Notebook;4;1675.07;6700.28
2024-02-04;Kamilly Barbosa;Silveira das Pedras;Monitor;7;2086.07;14602.49
2023-10-30;Aylla Souza;Farias;Mouse;4;646.0;2584.0
2025-08-11;Yuri da Mata;Cavalcanti de Goiás;Monitor;4;1465.12;5860.48
2025-02-18;Lara Dias;Sampaio;Monitor;8;377.31;3018.48
2025-09-16;Sra. Zoe Garcia;Vasconcelos de Minas;Teclado;7;846.59;5926.13
2025-06-08;Thales Cardoso;Andrade;Teclado;2;2701.14;5402.28
2024-09-26;Ravi Pinto;Câmara;Notebook;8;1151.77;9214.16
2025-03-29;Maria Laura Silva;Lima;Notebook;7;2944.0;20608.0
2024-09-22;Maria Isis Caldeira;Nogueira da Prata;Monitor;3;2861.18;8583.54
2025-07-10;Rael Novaes;Azevedo;Monitor;10;885.69;8856.9
2025-06-30;Maria Júlia Gonçalves;Mendonça Alegre;Notebook;10;1590.44;15904.4
2025-02-15;Sra. Ana Carolina Sousa;Camargo de Fernandes;Mouse;1;2448.9;2448.9
2024-06-27;Hellena Ferreira;da Luz do Galho;Notebook;3;2395.15;7185.45
2024-02-28;Maitê Brito;Pereira;Notebook;1;1508.95;1508.95
2024-04-30;Sara Carvalho;Rodrigues do Campo;Smartphone;2;624.38;1248.76
2025-02-14;Cecília Mendonça;Macedo;Monitor;3;399.83;1199.49
2024-01-29;Maitê Monteiro;Jesus;Mouse;9;1757.3;15815.7
2025-01-21;Otávio Novaes;Martins;Mouse;9;1301.44;11712.96
2025-09-10;Sabrina Cavalcante;Porto;Notebook;2;996.06;1992.12
2024-03-06;Natália Mendes;Rezende;Monitor;10;2317.37;23173.7
2025-05-19;Pietro Teixeira;Viana;Monitor;2;2685.24;5370.48
2024-12-06;Srta. Milena Souza;Brito do Amparo;Smartphone;5;1592.94;7964.7
2024-11-30;Dra. Ayla Correia;Sousa;Mouse;1;2274.05;2274.05
2023-10-26;Lunna Vargas;Pastor;Teclado;7;1127.99;7895.93
2025-10-09;Maria Cunha;Araújo;Monitor;7;2214.4;15500.8
2024-09-23;Sra. Beatriz Sales;Souza da Serra;Mouse;8;2521.57;20172.56
2024-12-31;Joana Souza;Barros;Smartphone;10;493.48;4934.8
2025-04-06;Agatha Aparecida;Vieira;Monitor;4;1840.74;7362.96
2023-10-31;Ana Albuquerque;Mendes Paulista;Notebook;6;1194.2;7165.2
2025-10-09;Liam Almeida;Ribeiro das Pedras;Mouse;6;2101.6;12609.6
2025-10-06;Maysa Siqueira;Castro Paulista;Smartphone;9;1801.0;16209.0
2025-03-07;Maitê da Rocha;da Costa;Teclado;7;1228.62;8600.34
2025-03-12;Josué Câmara;Siqueira de da Conceição;Monitor;3;1001.36;3004.08
2025-02-11;Diego Casa Grande;da Conceição;Teclado;3;2980.16;8940.48
2025-05-31;Maria Helena Sales;Monteiro;Mouse;2;2027.07;4054.14
2024-06-03;Benício da Mota;Pacheco do Sul;Teclado;5;891.84;4459.2
2024-09-20;Esther Lopes;Aparecida da Prata;Notebook;9;1346.57;12119.13
2023-12-12;Léo Rezende;Machado;Teclado;7;2081.58;14571.06
2025-06-24;Thales Castro;Aparecida;Mouse;5;2646.92;13234.6
2023-11-27;Raul Ribeiro;Moura do Galho;Notebook;8;595.41;4763.28
2025-01-04;Diego Araújo;Costa da Praia;Smartphone;10;407.63;4076.3
2025-02-23;Carolina Sá;Fonseca;Monitor;4;2984.78;11939.12
2025-03-07;Ana Júlia Sá;Dias das Flores;Notebook;9;1116.7;10050.3
2023-11-27;Liz Dias;Almeida do Galho;Mouse;1;154.65;154.65
2024-03-16;Yasmin Rezende;Pastor;Smartphone;2;397.61;795.22
2023-11-17;Luiz Otávio Lopes;Brito;Monitor;2;294.67;589.34
2024-05-25;Lunna Jesus;Duarte;Monitor;2;2564.23;5128.46
2025-06-22;Luiz Fernando da Conceição;Câmara;Teclado;2;690.86;1381.72
2024-03-20;Luiz Felipe Montenegro;Vieira;Notebook;4;1617.9;6471.6
2025-02-03;Gabriela Dias;Porto;Monitor;8;1351.53;10812.24
2024-08-21;Isabela Teixeira;da Rosa de Goiás;Mouse;1;1690.36;1690.36
2024-04-04;Thales da Rocha;Costa Paulista;Teclado;2;281.84;563.68
2025-06-29;Manuela Silveira;Novaes de Correia;Teclado;4;2404.25;9617.0
2024-08-22;Luara Albuquerque;Brito da Mata;Mouse;4;1075.43;4301.72
2023-11-25;Heloisa Leão;Duarte de Minas;Mouse;10;1648.73;16487.3
2025-01-29;Júlia Guerra;Leão do Norte;Monitor;3;2776.82;8330.46
2025-04-06;Pedro Miguel Moura;Rodrigues do Oeste;Teclado;6;392.38;2354.28
2024-10-17;Maria Luísa Teixeira;Pinto de Aragão;Smartphone;10;2469.24;24692.4
2024-02-26;Dr. Enzo Carvalho;Porto;Monitor;3;1081.43;3244.29
2024-12-06;Apollo Brito;Barros;Monitor;4;2130.96;8523.84
2023-11-07;Melina da Rosa;Sales;Monitor;8;2855.03;22840.24
2025-04-27;Emanuel Nunes;Rios;Monitor;2;2295.55;4591.1
2024-07-10;Gael da Rocha;Vargas do Amparo;Mouse;8;1393.85;11150.8
2025-03-30;Erick Porto;Oliveira de Pimenta;Notebook;2;1808.26;3616.52
2024-11-04;Maria Sophia Machado;da Mata;Smartphone;9;1125.2;10126.8
2024-12-27;Heitor Correia;Teixeira;Mouse;7;525.47;3678.29
2024-03-22;Maria Eduarda Moreira;Leão;Teclado;3;157.52;472.56
2025-09-23;Lívia Montenegro;Martins da Mata;Monitor;3;1674.85;5024.55
2024-03-27;Arthur Gabriel Pinto;Pacheco;Monitor;2;982.38;1964.76
2025-09-20;Maria Julia Montenegro;Siqueira Verde;Mouse;8;1400.35;11202.8
2024-07-14;João Felipe Jesus;Nunes de Freitas;Mouse;9;2404.92;21644.28
2024-09-17;Benjamim Pimenta;da Rocha;Mouse;9;440.48;3964.32
2025-06-11;Davi Vasconcelos;Sá;Notebook;8;1509.16;12073.28
2025-08-29;Dra. Marcela Barbosa;Pimenta;Monitor;4;2678.65;10714.6
2023-11-11;Sophia Araújo;Montenegro do Campo;Monitor;6;303.74;1822.44
2024-03-19;Laura da Paz;Borges;Mouse;3;2262.76;6788.28
2025-03-29;Isaac Cirino;Andrade;Monitor;5;593.22;2966.1
2024-10-10;Ravi Lucca Pastor;Vargas;Smartphone;4;2668.21;10672.84
2025-05-13;Bernardo Sales;Barros;Smartphone;4;1430.76;5723.04
2025-08-14;Sra. Rafaela Sousa;Cavalcante do Campo;Mouse;7;2266.93;15868.51
2025-01-18;Clara Campos;Pereira de Moraes;Smartphone;1;451.83;451.83
2025-06-21;Stephany Mendes;da Costa da Praia;Monitor;7;545.05;3815.35
2025-07-09;Levi Pacheco;Sampaio Alegre;Mouse;9;2344.44;21099.96
2024-02-06;Luana Casa Grande;Lopes do Sul;Smartphone;8;2081.08;16648.64
2024-01-19;Luiz Otávio Correia;Teixeira das Pedras;Notebook;2;2346.39;4692.78
2025-03-02;Sra. Maria Helena Gonçalves;Leão;Notebook;9;2509.16;22582.44
2024-07-23;Ester Ribeiro;Almeida das Pedras;Monitor;9;1573.56;14162.04
2025-02-22;Sr. Antônio Cirino;Camargo Alegre;Notebook;8;2533.01;20264.08
2024-06-02;Lucas Gabriel Barbosa;Guerra Paulista;Notebook;4;1631.42;6525.68
2025-01-02;Manuela Cassiano;Nunes do Sul;Smartphone;6;120.67;724.02
2025-06-12;Leonardo Barros;Cunha;Smartphone;8;562.68;4501.44
2025-10-09;Ester Machado;Rezende;Teclado;3;605.21;1815.63
2024-09-15;Mateus Costa;Costa;Teclado;8;2117.53;16940.24
2024-02-08;Josué Cardoso;Silva;Teclado;5;745.78;3728.9
2025-06-04;Brayan Ferreira;Mendonça do Amparo;Notebook;8;1636.83;13094.64
2024-05-10;Cecília Dias;Ribeiro;Monitor;1;1865.75;1865.75
2025-06-12;Dr. Thomas Moura;da Cunha;Teclado;1;2740.52;2740.52
2024-05-29;Bruna Ferreira;Costa;Smartphone;7;281.22;1968.54
2025-05-07;Ryan Novais;Montenegro Grande;Notebook;6;1029.35;6176.1
2025-01-03;Lunna Jesus;Cunha;Notebook;8;2661.91;21295.28
2023-12-08;Luara Ferreira;Pimenta;Teclado;1;120.54;120.54
2025-08-09;Calebe Pimenta;Pimenta;Notebook;7;2098.68;14690.76
2023-12-06;Eduarda da Conceição;Moreira;Smartphone;7;2498.94;17492.58
2024-08-17;Eduardo Cunha;Almeida do Sul;Smartphone;5;586.1;2930.5
2024-12-14;Sra. Isabelly Freitas;Andrade;Smartphone;7;2322.93;16260.51
2024-03-13;Arthur da Conceição;Costela do Galho;Monitor;9;499.12;4492.08
2024-06-12;Noah Sá;Pimenta de Minas;Smartphone;1;133.77;133.77
2024-01-06;Luara Silva;Nascimento de Nunes;Mouse;9;2373.96;21365.64
2024-01-14;Bryan Vasconcelos;Gomes;Notebook;1;2555.85;2555.85
2025-04-24;Maria Liz da Conceição;Monteiro Grande;Smartphone;1;2789.86;2789.86
2024-11-13;Asafe Melo;Duarte;Mouse;3;986.01;2958.03
2025-03-03;Yuri Nascimento;Montenegro;Teclado;10;1181.91;11819.1
2024-12-18;Mateus da Cunha;Mendes;Teclado;4;1239.62;4958.48
2024-06-13;Letícia Alves;Moura;Monitor;1;1501.78;1501.78
2024-09-30;Ayla Machado;Cassiano;Monitor;10;169.66;1696.6
2025-10-01;Marcos Vinicius Cirino;Martins de Teixeira;Teclado;3;2392.84;7178.52
2025-04-14;Mariana Fogaça;Moraes do Campo;Notebook;4;669.37;2677.48
2025-06-17;Mateus da Luz;Farias;Teclado;9;914.4;8229.6
2024-01-20;Srta. Maya Viana;Lopes Paulista;Smartphone;5;1090.66;5453.3
2024-04-30;Sr. Levi Farias;Fernandes dos Dourados;Teclado;10;2045.88;20458.8
2024-02-01;João Felipe Porto;Sá Verde;Monitor;5;1289.31;6446.55
2025-04-28;Sra. Ana Sophia Sousa;Guerra;Smartphone;6;2971.31;17827.86
2023-11-08;Sophia Farias;da Cunha;Monitor;1;2504.08;2504.08
2024-06-27;Sr. Luiz Felipe Costela;Moreira de Costa;Mouse;6;1512.25;9073.5
2024-03-30;Lucas Ribeiro;Sampaio de Goiás;Notebook;3;891.22;2673.66
2023-12-01;Raul Aragão;Barros;Notebook;6;1866.06;11196.36
2025-07-08;Ana Carolina Rocha;da Rocha;Monitor;5;2412.1;12060.5
2025-06-05;Erick Cunha;Andrade das Pedras;Smartphone;4;1907.46;7629.84
2024-07-24;João Guilherme Camargo;Porto;Smartphone;3;1535.69;4607.07
2024-08-04;Sra. Eduarda Nogueira;Almeida;Smartphone;8;2851.19;22809.52
2025-07-02;Dra. Isabel Camargo;da Rosa do Sul;Monitor;3;1912.31;5736.93
2023-11-02;Breno Casa Grande;Cardoso;Notebook;2;2116.63;4233.26
2025-06-01;Sra. Emilly Fonseca;Santos;Smartphone;2;2361.67;4723.34
2024-05-17;Caio Ferreira;Montenegro Verde;Smartphone;3;1091.74;3275.22
2025-03-27;Valentina Barbosa;Correia;Mouse;8;1026.26;8210.08
2025-02-16;Catarina Sá;da Conceição;Teclado;8;2472.13;19777.04
2024-09-18;Valentim Fogaça;Martins;Monitor;2;1247.38;2494.76
